2024-12-10 04:47:32.33 | GuillaumeCharron | APP_v5.G.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-10 04:57:49.98 | GuillaumeCharron | APP_v5.G.5.xlsb | wshDEB_Saisie:Worksheet_Activate = 0,7461 sec.

2024-12-10 04:58:10.73 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais de déplacement
2024-12-10 04:58:10.76 | GuillaumeCharron | APP_v5.G.5.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5020
2024-12-10 04:58:10.78 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0469 sec.

2024-12-10 04:58:13.72 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Saisie_Update
2024-12-10 04:58:13.75 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Fourn_Name - Ford Canada / Venne Ford
2024-12-10 04:58:13.77 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Fourn_Name - 24 = 0,0254 sec.

2024-12-10 04:58:13.80 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB
2024-12-10 04:58:13.99 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB = 0,1973 sec.

2024-12-10 04:58:14.02 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally
2024-12-10 04:58:14.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally = 0,1152 sec.

2024-12-10 04:58:14.16 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation
2024-12-10 04:58:14.18 | GuillaumeCharron | APP_v5.G.5.xlsb | modGL_Posting:GL_Posting_To_DB
2024-12-10 04:58:14.42 | GuillaumeCharron | APP_v5.G.5.xlsb | modGL_Posting:GL_Posting_To_DB = 0,2461 sec.

2024-12-10 04:58:14.44 | GuillaumeCharron | APP_v5.G.5.xlsb | modGL_Posting:GL_Posting_Locally
2024-12-10 04:58:14.64 | GuillaumeCharron | APP_v5.G.5.xlsb | modGL_Posting:GL_Posting_Locally = 0,1992 sec.

2024-12-10 04:58:14.66 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation = 0,5059 sec.

2024-12-10 04:58:16.16 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells
2024-12-10 04:58:16.20 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells = 0,0449 sec.

2024-12-10 04:58:16.23 | GuillaumeCharron | APP_v5.G.5.xlsb | modDEB_Saisie:DEB_Saisie_Update = 2,5098 sec.

2024-12-10 04:58:19.23 | GuillaumeCharron | APP_v5.G.5.xlsb | wshENC_Saisie:Worksheet_Activate
2024-12-10 04:58:19.26 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-10 04:58:19.50 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 0,2461 sec.

2024-12-10 04:58:19.52 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-10 04:58:19.72 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All = 0,2031 sec.

2024-12-10 04:58:19.74 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All
2024-12-10 04:58:19.97 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All = 0,2344 sec.

2024-12-10 04:58:19.00 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All
2024-12-10 04:58:20.19 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All = 0,2031 sec.

2024-12-10 04:58:20.21 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:ENC_Détails_Import_All
2024-12-10 04:58:20.38 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:ENC_Détails_Import_All = 0,1758 sec.

2024-12-10 04:58:20.41 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:ENC_Entête_Import_All
2024-12-10 04:58:20.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:ENC_Entête_Import_All = 0,1426 sec.

2024-12-10 04:58:20.56 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:GL_Trans_Import_All
2024-12-10 04:58:20.86 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:GL_Trans_Import_All = 0,2969 sec.

2024-12-10 04:58:20.89 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder(wshENC_Saisie)
2024-12-10 04:58:20.91 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder = 0,0332 sec.

2024-12-10 04:58:20.94 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-10 04:58:20.97 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = 0,0391 sec.

2024-12-10 04:58:21.01 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date(10/12/24, 30, 0)
2024-12-10 04:58:21.03 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date = 0,0215 sec.

2024-12-10 04:58:21.05 | GuillaumeCharron | APP_v5.G.5.xlsb | wshDEB_Saisie:Worksheet_Activate = 1,8242 sec.

2024-12-10 04:58:24.04 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - Laurent Harvey, CPA Inc.
2024-12-10 04:58:24.08 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 156 = 0,0410 sec.

2024-12-10 04:58:24.10 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-10 04:58:24.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = 0,0312 sec.

2024-12-10 04:58:24.15 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Get_OS_Invoices
2024-12-10 04:58:24.18 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Get_OS_Invoices_With_AF
2024-12-10 04:58:24.26 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Enc:ENC_Get_OS_Invoices_With_AF = 0,0840 sec.

2024-12-10 04:58:24.29 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Add_Check_Boxes
2024-12-10 04:58:24.31 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Add_Check_Boxes = 0,0234 sec.

2024-12-10 04:58:24.33 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Enc:ENC_Load_OS_Invoices = 0,1797 sec.

2024-12-10 04:58:38.49 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Back_To_FAC_Menu
2024-12-10 04:58:38.52 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Clear_Cells
2024-12-10 04:58:38.58 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Clear_Cells = 0,0703 sec.

2024-12-10 04:58:38.61 | GuillaumeCharron | APP_v5.G.5.xlsb | modENC_Saisie:ENC_Back_To_FAC_Menu = 0,1270 sec.

2024-12-10 04:58:41.51 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-10 04:58:41.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0410 sec.

2024-12-10 05:00:28.93 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-10 05:00:28.97 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0430 sec.

2024-12-10 05:00:31.46 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-10 05:00:31.50 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0449 sec.

2024-12-10 05:00:33.10 | GuillaumeCharron | APP_v5.G.5.xlsb | wshMenuFAC:FAC_Confirmation_Click
2024-12-10 05:00:33.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-10 05:00:33.33 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All = 0,2051 sec.

2024-12-10 05:00:33.35 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All
2024-12-10 05:00:33.55 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All = 0,2031 sec.

2024-12-10 05:00:33.57 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All
2024-12-10 05:00:33.82 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All = 0,2461 sec.

2024-12-10 05:00:33.86 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Confirmation:Worksheet_Activate
2024-12-10 05:00:33.88 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-10 05:00:34.35 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 0,4727 sec.

2024-12-10 05:00:34.37 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All
2024-12-10 05:00:34.55 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All = 0,1855 sec.

2024-12-10 05:00:34.58 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All
2024-12-10 05:00:34.82 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All = 0,2500 sec.

2024-12-10 05:00:34.85 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Sommaire_Taux_Import_All
2024-12-10 05:00:34.98 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Sommaire_Taux_Import_All = 0,1348 sec.

2024-12-10 05:00:35.02 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder(wshFAC_Confirmation)
2024-12-10 05:00:35.05 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder = 0,0410 sec.

2024-12-10 05:00:35.08 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Confirmation:FAC_Confirmation_Clear_Cells_And_PDF_Icon
2024-12-10 05:00:35.12 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Entête_AC_C_AF
2024-12-10 05:00:35.19 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Entête_AC_C_AF = 0,0703 sec.

2024-12-10 05:00:35.98 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Confirmation_Clear_Cells_And_PDF_Icon = 0,9043 sec.

2024-12-10 05:00:36.00 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Confirmation:FAC_Confirmation_Clear_Cells_And_PDF_Icon
2024-12-10 05:00:36.04 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Entête_AC_C_AF
2024-12-10 05:00:36.11 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Entête_AC_C_AF = 0,0684 sec.

2024-12-10 05:00:36.93 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Confirmation_Clear_Cells_And_PDF_Icon = 0,9277 sec.

2024-12-10 05:00:36.96 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Confirmation:Worksheet_Activate = 3,1113 sec.

2024-12-10 05:00:36.99 | GuillaumeCharron | APP_v5.G.5.xlsb | wshMenuFAC:FAC_Confirmation_Click = 3,8945 sec.

2024-12-10 05:00:42.50 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Confirmation:FAC_Confirmation_Clear_Cells_And_PDF_Icon
2024-12-10 05:00:42.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Entête_AC_C_AF
2024-12-10 05:00:42.60 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Entête_AC_C_AF = 0,0684 sec.

2024-12-10 05:00:43.40 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:FAC_Confirmation_Clear_Cells_And_PDF_Icon = 0,9043 sec.

2024-12-10 05:00:55.19 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:Back_To_FAC_Menu
2024-12-10 05:00:55.24 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Confirmation:Back_To_FAC_Menu = 0,0488 sec.

2024-12-10 05:00:56.46 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-10 05:00:56.50 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0430 sec.

2024-12-10 06:04:16.30 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-10 06:04:16.32 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-10 06:04:16.62 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 0,2988 sec.

2024-12-10 06:04:16.64 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-10 06:04:17.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 0,4844 sec.

2024-12-10 06:04:17.15 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate = 0,8594 sec.

2024-12-10 06:04:19.77 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-10 06:04:19.80 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,0332 sec.

2024-12-10 06:04:20.35 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-10 06:04:20.37 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date(10/12/24, 600, 15)
2024-12-10 06:04:20.39 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date = 0,0234 sec.

2024-12-10 06:04:20.41 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,0625 sec.

2024-12-10 06:04:20.43 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-10 06:04:20.45 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/10/12/24
2024-12-10 06:04:20.55 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,1094 sec.

2024-12-10 06:04:20.58 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/10/12/24
2024-12-10 06:04:20.61 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$7)
2024-12-10 06:04:20.63 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-10 06:04:20.65 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-10 06:04:20.98 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3340 sec.

2024-12-10 06:04:21.01 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-10 06:04:21.18 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1797 sec.

2024-12-10 06:04:21.20 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5723 sec.

2024-12-10 06:04:21.22 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-10 06:04:21.42 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2051 sec.

2024-12-10 06:04:21.44 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-10 06:04:21.51 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0703 sec.

2024-12-10 06:04:21.53 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,9238 sec.

2024-12-10 06:04:21.55 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($T$7)
2024-12-10 06:04:21.57 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-10 06:04:21.59 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-10 06:04:21.91 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3203 sec.

2024-12-10 06:04:21.93 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-10 06:04:22.10 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1777 sec.

2024-12-10 06:04:22.12 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5547 sec.

2024-12-10 06:04:22.14 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-10 06:04:22.34 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2012 sec.

2024-12-10 06:04:22.36 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-10 06:04:22.42 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0684 sec.

2024-12-10 06:04:22.44 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,8867 sec.

2024-12-10 06:04:22.46 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-10 06:04:22.48 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-10 06:04:22.50 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-10 06:04:22.82 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3223 sec.

2024-12-10 06:04:22.84 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-10 06:04:23.02 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1816 sec.

2024-12-10 06:04:23.04 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5645 sec.

2024-12-10 06:04:23.06 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-10 06:04:23.25 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,1973 sec.

2024-12-10 06:04:23.27 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-10 06:04:23.33 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0664 sec.

2024-12-10 06:04:23.35 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,8926 sec.

2024-12-10 06:04:23.40 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/10/12/24 = 2,8281 sec.

2024-12-10 06:04:23.42 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 2,9941 sec.

2024-12-10 06:04:27.16 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]]
2024-12-10 06:04:27.18 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]
2024-12-10 06:04:27.20 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1675 = 0,0215 sec.

2024-12-10 06:04:27.22 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,0625 sec.

2024-12-10 06:04:48.47 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[révision des formulaires de roulement et modifications+impression pour poste et préparer pour signatures]
2024-12-10 06:04:48.49 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = 0,0293 sec.

2024-12-10 06:20:22.11 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[3]
2024-12-10 06:20:22.15 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = 0,0430 sec.

2024-12-10 06:20:22.18 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_Exit[3,00]
2024-12-10 06:20:22.20 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_Exit = 0,0254 sec.

2024-12-10 06:20:23.35 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:cmdAdd_Click
2024-12-10 06:20:23.37 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2024-12-10 06:20:23.39 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2024-12-10 06:20:23.75 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = 0,3594 sec.

2024-12-10 06:20:23.77 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2024-12-10 06:20:23.85 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = 0,0840 sec.

2024-12-10 06:20:23.87 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-12-10
2024-12-10 06:20:24.01 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,1465 sec.

2024-12-10 06:20:24.03 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-10
2024-12-10 06:20:24.06 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$7)
2024-12-10 06:20:24.09 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-10 06:20:24.10 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-10 06:20:24.43 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3320 sec.

2024-12-10 06:20:24.45 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-10 06:20:24.74 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,2949 sec.

2024-12-10 06:20:24.76 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,6836 sec.

2024-12-10 06:20:24.79 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-10 06:20:25.01 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2285 sec.

2024-12-10 06:20:25.03 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-10 06:20:25.10 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0684 sec.

2024-12-10 06:20:25.12 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 1,0566 sec.

2024-12-10 06:20:25.14 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($T$7)
2024-12-10 06:20:25.16 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-10 06:20:25.18 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-10 06:20:25.50 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3281 sec.

2024-12-10 06:20:25.53 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-10 06:20:25.70 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1758 sec.

2024-12-10 06:20:25.72 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5605 sec.

2024-12-10 06:20:25.74 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-10 06:20:25.96 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2324 sec.

2024-12-10 06:20:25.98 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-10 06:20:26.05 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0664 sec.

2024-12-10 06:20:26.07 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,9297 sec.

